"article_id","article_version","last_updated","icd10_pcs_code_group","paragraph"
"56396","11","2023-01-17 15:54:04.963000000","1",""
"56414","41","2025-09-26 13:53:43.590000000","1",""
"56416","42","2025-09-26 13:54:34.290000000","1",""
"56419","20","2023-04-10 13:11:15.753000000","1",""
"56420","16","2023-01-20 12:04:01.660000000","1",""
"56421","40","2025-11-10 12:56:31.900000000","1",""
"56422","50","2026-01-23 14:06:35.097000000","1",""
"56423","59","2026-01-23 14:07:25.730000000","1",""
"56425","16","2025-11-26 22:39:00.907000000","1",""
"56432","22","2025-08-18 13:17:41.603000000","1",""
"56439","18","2025-10-31 20:58:09.363000000","1",""
"56448","22","2025-11-26 22:37:21.043000000","1",""
"56451","26","2025-09-30 23:46:17.310000000","1",""
"56452","21","2025-11-26 22:40:29.813000000","1",""
"56453","12","2025-09-18 20:06:24.220000000","1",""
"56454","11","2025-01-31 19:17:58.150000000","1",""
"56455","11","2025-01-31 19:27:42.050000000","1",""
"56456","30","2025-12-26 14:19:46.220000000","1",""
"56457","14","2025-09-18 20:18:24.727000000","1",""
"56459","28","2025-10-30 14:22:07.773000000","1",""
"56460","13","2025-01-31 16:56:12.330000000","1",""
"56461","25","2025-09-17 17:32:27.700000000","1",""
"56462","30","2025-02-25 17:23:50.973000000","1",""
"56464","34","2025-09-17 17:39:55.060000000","1",""
"56465","15","2025-03-18 15:40:35.370000000","1",""
"56467","12","2025-03-18 15:44:50.597000000","1",""
"56471","17","2025-01-31 19:02:27.960000000","1",""
"56472","22","2025-09-17 17:45:57.170000000","1",""
"56476","35","2025-08-14 14:47:40.507000000","1",""
"56491","25","2025-03-18 16:49:18.987000000","1",""
"56493","13","2025-10-31 20:50:57.690000000","1",""
"56494","15","2025-01-31 19:11:48.223000000","1",""
"56500","39","2025-10-31 21:03:26.793000000","1",""
"56502","8","2023-11-20 14:21:05.550000000","1",""
"56503","12","2024-12-17 16:47:50.037000000","1",""
"56505","37","2025-01-24 13:49:32.490000000","1",""
"56514","25","2025-03-24 15:55:10.423000000","1",""
"56518","26","2024-03-15 16:08:02.280000000","1","<p>N/A</p>"
"56531","19","2024-08-12 18:11:49.910000000","1",""
"56537","40","2025-09-15 17:47:48.783000000","1",""
"56538","27","2025-09-26 13:55:14.553000000","1",""
"56541","40","2024-01-19 13:04:01.883000000","1",""
"56542","18","2025-09-26 17:08:21.060000000","1",""
"56544","27","2025-09-15 17:40:08.840000000","1",""
"56545","14","2024-11-13 14:10:50.203000000","1",""
"56548","19","2025-09-15 17:41:12.500000000","1",""
"56551","33","2025-09-15 17:52:45.740000000","1",""
"56558","86","2025-11-26 13:34:39.110000000","1",""
"56559","26","2025-08-13 21:55:28.303000000","1",""
"56562","33","2024-08-08 18:59:20.140000000","1",""
"56565","19","2025-10-31 15:30:21.397000000","1",""
"56566","41","2025-12-22 16:40:09.863000000","1",""
"56572","22","2024-06-04 13:39:36.803000000","1",""
"56580","30","2025-08-14 18:31:24.157000000","1",""
"56584","14","2023-07-06 14:41:37.017000000","1",""
"56587","43","2025-01-24 17:36:21.947000000","1",""
"56588","27","2024-09-23 10:43:36.500000000","1",""
"56594","13","2025-03-18 17:14:01.607000000","1",""
"56602","39","2025-01-24 13:51:56.547000000","1",""
"56605","22","2025-12-22 15:47:49.240000000","1",""
"56606","19","2024-12-17 17:20:51.393000000","1",""
"56607","19","2025-08-21 14:15:21.243000000","1",""
"56609","17","2024-02-13 22:15:19.593000000","1",""
"56610","13","2023-11-06 15:53:06.327000000","1",""
"56611","15","2025-08-14 16:11:19.977000000","1",""
"56612","33","2025-08-20 18:07:58.540000000","1",""
"56613","17","2025-08-14 16:13:19.443000000","1",""
"56614","23","2025-04-09 14:26:15.103000000","1",""
"56615","36","2025-09-26 13:56:52.040000000","1",""
"56616","11","2024-12-13 15:16:30.810000000","1",""
"56617","25","2023-12-19 12:47:27.640000000","1",""
"56619","33","2025-08-20 14:53:39.653000000","1",""
"56621","26","2025-08-14 12:30:34.840000000","1",""
"56625","36","2025-08-19 15:00:56.533000000","1",""
"56631","19","2023-10-20 11:53:02.133000000","1",""
"56632","31","2025-08-14 17:16:05.260000000","1",""
"56633","47","2023-11-09 23:50:23.170000000","1",""
"56636","20","2025-10-22 18:51:30.480000000","1",""
"56638","37","2025-07-09 18:47:28.187000000","1",""
"56639","20","2025-08-14 13:23:36.937000000","1",""
"56641","18","2025-08-14 13:58:38.323000000","1",""
"56642","47","2025-07-09 18:46:28.797000000","1",""
"56644","29","2025-09-26 14:04:44.470000000","1",""
"56645","48","2024-10-18 13:49:41.547000000","1",""
"56646","23","2025-08-21 14:10:47.810000000","1",""
"56647","32","2023-11-09 23:51:50","1",""
"56648","19","2023-10-19 18:16:12.107000000","1",""
"56651","36","2023-11-09 11:41:10.703000000","1",""
"56653","15","2024-05-31 13:36:54.807000000","1",""
"56658","38","2025-11-10 12:57:00.297000000","1",""
"56666","19","2023-01-20 12:03:14.297000000","1",""
"56669","16","2024-07-23 15:40:32","1",""
"56670","58","2024-09-13 13:11:16.700000000","1",""
"56672","16","2024-10-18 12:45:49.793000000","1",""
"56673","14","2024-12-13 15:17:19.290000000","1",""
"56674","11","2025-04-09 14:28:58.433000000","1",""
"56675","25","2024-09-05 14:29:00.783000000","1",""
"56679","9","2024-08-22 14:02:02","1",""
"56680","44","2025-10-24 13:18:49.620000000","1",""
"56681","34","2023-11-09 11:38:02.863000000","1",""
"56682","49","2025-10-03 12:28:16.163000000","1",""
"56684","17","2025-09-12 14:35:09.823000000","1",""
"56685","17","2024-08-26 14:04:31.797000000","1",""
"56686","16","2024-12-17 17:34:19.747000000","1",""
"56690","17","2024-12-17 19:11:39.460000000","1",""
"56691","28","2025-08-14 13:49:01.397000000","1",""
"56692","18","2025-09-19 13:03:58.030000000","1",""
"56695","24","2025-08-25 13:18:59.297000000","1",""
"56696","35","2025-08-29 17:08:45.390000000","1",""
"56697","44","2025-10-31 21:11:16.607000000","1",""
"56703","17","2024-06-24 12:34:08.030000000","1",""
"56704","10","2022-03-04 13:36:36.370000000","1",""
"56717","31","2025-08-19 10:55:46.210000000","1",""
"56718","33","2025-08-25 13:33:07.003000000","1",""
"56722","23","2025-09-26 17:44:06.770000000","1",""
"56726","42","2025-09-16 20:15:36.130000000","1",""
"56727","21","2025-08-18 15:58:46.767000000","1",""
"56729","21","2025-08-25 14:13:16.373000000","1",""
"56730","23","2025-08-22 15:24:22.683000000","1",""
"56731","16","2023-12-27 19:22:56.587000000","1",""
"56732","15","2023-12-20 18:54:10.753000000","1",""
"56737","30","2024-09-18 13:08:04.550000000","1",""
"56743","25","2025-12-22 18:35:48.697000000","1",""
"56747","28","2025-07-10 20:15:48.197000000","1",""
"56748","29","2025-08-20 14:04:19.793000000","1",""
"56756","20","2023-11-03 14:52:04.717000000","1",""
"56758","61","2025-09-18 11:59:12.220000000","1",""
"56766","24","2025-09-17 16:21:02.110000000","1",""
"56767","28","2025-12-22 13:59:34.563000000","1",""
"56769","18","2025-08-14 15:14:16.023000000","1",""
"56771","25","2024-09-17 12:35:02.723000000","1",""
"56773","30","2025-09-26 13:57:38.917000000","1",""
"56774","22","2025-08-14 11:51:30.903000000","1",""
"56775","24","2025-08-25 13:56:09.830000000","1",""
"56777","12","2024-02-19 14:55:32.637000000","1",""
"56779","18","2025-09-18 12:10:36.090000000","1",""
"56781","36","2025-09-15 17:49:30.243000000","1",""
"56784","18","2024-08-12 15:21:11.450000000","1",""
"56786","67","2026-01-23 13:42:32.043000000","1",""
"56787","23","2023-09-21 18:53:52.450000000","1",""
